ramp,Asc.ver,Cus.glo,Dal.can,Des.ill,Hel.rig,Mon.fis,Oxa.str,Phy.pum,Rue.hum,Sch.nut,Sis.cam,Amb.art,Phy.vir,Car.spp,Dic.oli,And.ger,And.sco,Bou.cur,Pan.vir,Sor.nut,Spo.asp,Tri.dac,Amb.art,Amb.psi,Amo.can,Ast.eri,Eup.ser,Kuh.eup,Les.cap,Ros.ark,Rue.sp,Sal.leu,Sol.can,Sol.mis,Sol.rig,Sym.orb,Teu.can,Ver.bal
14,2.25,0,0,0,17,0,0,1,0,0,0,0,0,1.25,0.5,87.5,0,0,0,3.75,0.5,0,0,0,0,0,0,1.75,0,2.5,0,1.25,8.75,0,0,0,0,1.25
15,0,0,0,0,0,0,0,2.75,0,3.25,0,0,0,1.75,0.25,82.5,0,0.25,0.5,6.25,7,0,0,0,0,0,0,0,0,0,0,2.5,15,0,0,0,0,0
1,1,0,0,0,0,0,0,0.75,0,1.25,0,0.75,0,1,0.5,77.5,0,0,10,5,0,0,0.25,0,0,0,0,0,0,0,0,0,12.5,0,0,1.5,0,0
2,0.75,0,0,0,0,0,0,1.5,0,0,0.5,0.25,0,5.25,1.25,58.75,10.5,0,0.75,7,18,0,0.25,0,0,2,0,2.5,0,0,0,1.75,0.5,33.75,0,0,0,0.75
3,1.75,0,0.5,0,0,0,0,3.5,0,0,0,0.5,0,2.75,0.75,72.5,1.25,0,0,17.5,11.25,0,0.25,0.5,0,3.5,0,0,0,0,0,0,10.5,0,0,0,0,0
4,0.5,0,0,0,0,7.5,0,2.25,0,0,0,0.75,0,4.75,1.75,78.75,0,0,0.5,8.75,4.75,0,0.5,0,0,4.5,0,0.75,0,1.25,0,6.25,2.5,0,0,0,0,0
5,0.25,0,1.25,0,0,0,0,1.5,0,0,0,0.75,0,4.5,0.75,87.5,0,0,0.25,12.5,1.25,0,0.25,0,1.25,0.75,0,0,0,13.75,0,0,4,0,0,1.25,0,0
6,1.25,0,0.5,3.75,0,0,0,0.5,2,1.25,0,0.25,0,10.75,2.5,87.5,3,0,0,10,4,0,0.25,0,0,5.75,0,0,0,0,0.5,3.5,12,0,0,0,0,1
7,1.25,0,0.5,0,0,0,0,3,0,1.25,0,0.25,0,5.75,4.5,92.5,0.25,0,0,5,1.25,0,0.25,0,0,5.5,0,0,0,0,0,1,6.25,1.25,0,0,0,0.5
8,1.25,0,0,0,0,0,0.5,1.25,0,0,0.25,1,0,4,0,81.25,0,0,0,12.5,0.75,0,0,0,0,3,0,0,0,0,0,2.75,1.5,6.25,0,0,0,0
9,2,0,0,0,0,0,0,1.75,0.25,0,0.5,0.25,0,1.75,2.75,90,1.5,0,0,4.5,1.5,0,0,0.25,2.5,3.75,0,0,0,0,0,0,8.25,0,0,0,0,2
10,1.5,0,1.25,0,0,0,0,1,0.5,0,0,0.25,0,9.75,2.25,78.75,8.25,0,0.25,2.25,1,2.5,0,0,8.75,1.25,0,2,0.5,0,0,0,8,13.75,14.5,0,0,0
11,0,0,0,0,0,0,0.5,3,0,0,0,1.5,0,13,1.5,55,2.5,0,0.75,11.25,11.25,0,0.25,0,0,1.25,0,0,0,0,0,0,15,1.25,17.5,0,0,0.75
12,0,0.25,0,0,0,0,0,0,0,0,0.75,2,0,6.75,2,52.5,5.5,0,0,0.5,10,0,1.75,0,0,0.25,0.25,0,0.5,0,0,0,22.5,0,0,0,0,0.75
13,2,0,0,0,0,0,0,1.75,0,0.75,0,0.75,0,7.75,1.75,72.5,0,0,0,12.5,4,0,0.5,0,0,0,0,0,0,0,0,0,20,0,0,0,1.25,0
14,1.25,0,0,0,15,0,0,0.75,0,0,0,0.75,0,1.75,0,85,0,0,0,7.5,0.25,0,0.5,0,0,0,0,2,0,2.5,0,0.75,9.5,0,0,0,0,0
15,0,0,0,0,0,0,0,2.5,0.25,3,0,0,0,4.75,0,82.5,0,0,0,15,6.25,0,0.5,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0
1,0.5,0,0,0,0,0,0,1.5,0,1.25,0,0,0,0.5,0.5,82.5,0,0,10.75,10,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,2,0,0
2,0.25,0,0,0,0,0,0,1.75,0,0,0,0,0,2,1.25,55,13.75,0.5,0.5,10,15,0,0.5,0,0,3,0,1.75,0,0,0,0.75,0.75,36.25,0,0,0,0.5
3,1,0,1.25,0,1.25,0,0,3.25,0,0,0,0,0,1.75,1,75,1.25,0,0,16.25,11.25,0,0.5,0,0,5,0,0,0,0,0,0,12.5,0,0,0,0,0
4,0.25,0,0,0,4.5,10,0,3.25,0,0,0,0,0,5,1.25,80,0,0,1,12.5,5.5,0,0.75,0,0,4,0,1.25,0,1.25,0,5,3.5,0,0,0,0,0
5,0,0,2.5,0,0,0,0,1.25,0,0,0,0,0,3,1,91.25,0,0,2,8.25,0.5,0,0.5,0,1.25,0.5,0,0,0,11.25,0,0,4,0,0,1.25,0,0
6,1,0.25,1.25,2,0,0,0,1.5,1,0,0,0,0,7,1.25,90,2,0,0,10.75,2.75,0,0.25,0,0,2.5,0,0,0,0,1.25,2.25,8.75,0,0,0,0,1
7,1,0,0.75,0,0,0,0,3.5,0,4.5,0,0,0,4.5,2.5,93.75,0.25,0,0,6.5,0.25,0,0.25,0,0,3.5,0,0,0,0,0,1.75,5.25,2,0,0,0,0.5
8,0.75,0,0,0,0,0,0.5,0.75,0,0,0,0,0,1.75,0,91.25,0,0,0,8.75,0.75,0,0.75,0,0,2.5,0,0,0,0,0,3.25,0.5,10.75,0,0,0,0
9,1.5,0.75,0.25,0,0,0,0,1.5,0.5,0,0,0,0,1,1.25,88.75,2.5,0,0,5,1.25,0,0.5,0.25,3.75,1.75,0,0,0,0,0.25,0.25,7.5,0,0,0,0,1.25
10,1.25,0,1.75,0,0,0,0,2,0.5,0,0,0,0,9,1.75,78.75,9.5,0,0.75,3.75,0.75,2.5,0,0,8.75,1.25,0,2,0.5,0,0,0,5.5,13.75,10.75,0,0,0
