ramp,Asc.ver,Cus.glo,Dal.can,Des.ill,Hel.rig,Mon.fis,Oxa.str,Phy.pum,Rue.hum,Sch.nut,Sis.cam,Amb.art,Phy.vir,Car.spp,Dic.oli,And.ger,And.sco,Bou.cur,Pan.vir,Sor.nut,Spo.asp,Tri.dac,Amb.art,Amb.psi,Amo.can,Ast.eri,Eup.ser,Kuh.eup,Les.cap,Ros.ark,Rue.sp,Sal.leu,Sol.can,Sol.mis,Sol.rig,Sym.orb,Teu.can,Ver.bal
5,0.25,0,6,0,0,2.5,0,2,0,0,0.25,0,0,4,0.5,95,0,0,2.75,9.25,0,0,0,0,2.5,0,0,0.25,0,5,0,0,5.5,0,0,3.75,0,0
6,1,0,1.75,3,0,0,0,1,1.5,0,0,0.25,0,3.25,0.75,100,1,0,0,5.75,0.25,0,0,0,0,0.5,0,0,0,0,0.5,4.5,9.5,0,0,0,0,1.25
7,0.75,0,1.25,0,0,0,0,1.75,0,11.25,0,0.25,0,2,1,100,0.25,0,0,2.5,0,0,0,0,0,1,0,0,0,0,0,2,3,2.75,0,0,0,0.5
8,1,0,0,0,0,0,0,0.25,0,1.75,0,0.25,0,2.25,0,98.75,0,0.25,0,7,0.25,0,0,1.25,0,1.5,0,0,0,0,0,4.25,5.25,7.25,0,0,0,0
9,0.5,0,1,0,0,0,0,1.25,0.75,0,1,1,0,1,1.5,83.75,3.5,0.25,0,10,1.25,0,0,4.25,7.5,0.5,0,0.5,0,0,0.5,0,4,0,1.75,0,0,2.25
10,0.5,0,6,0,0,0,0,1.75,0,0,0,0,0,2.5,0.75,76.25,12.5,0,2.5,3.75,0.5,1,0,0,15,0,0,3.75,1.25,0,0,0,1,13.25,20.5,0,0,0
11,0.5,0.75,0,0,0,0,0,1,0,0,0,0.25,0,3.5,1,48.75,11.25,0,0.25,40,0,0,0,0,0,0,1,0,0.75,0,0,0,4.25,0,18.75,0,0,0
12,0.25,0.75,0,0,0,0,0,0.5,0,0,0,0.5,0,2.25,0.5,73.75,13.75,0,0,11.25,1,0,0,0,0,0.5,0.75,0,0,0,0,0,31.25,0,0,0,0,1.25
13,1,0,1.25,0,1.75,0,0,0.5,0,7,0,0,0,3.5,1.75,86.25,0,0,0,15,1,0,0,0,0,0.5,0.5,0,0,0,0,0,6,0,0,0,1,0.25
14,0.25,0,0,0,58.75,0,0,0.5,0,0,0,0,0,2.25,0,70,0,0,1,12.5,0.25,0,0,0,0,0,0,0.5,0,0.5,0,0.25,7.25,0,0,0,0,0
15,0,0,0,0,0,0,0,1.5,0,5,0,0.25,0,2.25,0.75,95,0,0,1.25,11.25,0.5,0,0,0,0,0,0.75,0,0,0,0,1.25,5,0,0,0,0,0
1,0,0,0,0,0,0,0,0.25,0,7.5,0.5,0.5,0,2,0.5,82.5,0.25,0,3.25,18.75,0,0,0,0.5,0,0,0,0,0,0,0,0,7.25,0,0,0.5,0,0
2,0.25,0,1,0,0,0,0,0.75,0,0,0.25,0.75,0,1.25,1.25,80,17,1.75,0,11.25,2,0,0,0,0,1,0,2,0,0,0,0.5,0.25,41.25,0,0,0,0.5
3,0.25,0,0.75,0,3,0.25,0,1,0,1.75,0,0,0.25,0.75,0.75,81.25,0.75,0.25,0,16.25,5.75,0,0,0,0,4,0.25,0.75,0,0,0,0,27.5,0,0.5,0,0,0
4,0,0,0,1.5,2.25,7,0,0.5,0,0,0,0,0,9,1.5,60,2.75,0,1.25,41.25,3.25,0,0,0,0,5,0,0.25,0,5,0,8.5,4.25,0,0,0,0,0
5,0.25,1.25,15.75,0,0,0,0,0.25,0,0,0,0,0,6.5,0.5,83.75,0,0,3,17.5,0,0,0,0,2.5,0,0,0.5,0,6.25,0,0,11.75,0,0,3.75,0,0
6,1,0,2.5,7,0,0,0,1.25,1,0,0,0,0,3.5,0.75,76.25,2.25,0.5,0,23.75,0.5,0,0,0,0,0.5,0,0.75,0,0,0,5.75,26.25,0,0,0,0,1.25
7,0.5,0,1.25,0,0,0,0,1,0,6.25,0,0.25,0,1.75,0.5,98.75,0,0,0,8.75,0,0,0,0,0,0.5,0,0,0,0,0,1,10.5,5,0,0,0,0.5
8,1,0,0,0,0,0,0,0.5,0,2.75,0.25,0,0,3.75,0.5,88.75,0,0,0,7,0.25,0,0,3,0,1.75,0.25,0,0.25,0,0,5.5,6.5,11.5,0,0,0,0
9,1,0,1.75,0,0,0,0,1.25,0.75,0,1,0,0,1.5,1.25,88.75,0,0,0,10.5,1.25,0,0,9.25,10,0.5,0.5,3.25,0,0,0,0,8.25,0,1.75,0,0,1.75
10,0.5,0,9.75,0,0,0,0,1.5,0.25,0,0.25,0,0,2.5,1.25,66.25,17.5,0,3.75,7.5,0,2.5,0,0,16.25,0,0,5,2,0.5,0,0,0.5,20.75,16.25,0,0,0
11,0.5,0.25,0,0,0,0,0,0.75,0,0,0,0.5,0,2.75,1,43.75,8.75,0,0,52.5,0,0,0,0,0,0,0.5,0,0.75,0,0,0,5.5,0,13.25,0,0,0
12,0,0,0,0,0,0,0,0.25,0,0,0,0.75,0,2.75,1.75,59,24.25,0,0,10,1.25,2.5,0,0,0,0.25,0.25,0,0.25,0,0,0,40,0,0,0,0,0.75
13,1,0,3,0,2,0,0,0.25,0,8,0.25,0.25,0,2,1.5,83.75,0,0,0,16.25,1.25,0,0,0.25,0,0.5,0.75,0,0,0,0,0,10.5,0,0,0,2,0
14,0,0,0,0,65,0,0,0.25,0,0,0,0,0,5.5,0.25,60,0,0,0.5,27.5,0.25,0,0,0,0,0,0.25,0.5,0,0,0,0.5,5.5,0,0,0,0,0.5
15,0,0,0,0,0,0,0,1.25,0,14.5,0,0.25,0,1.5,0.75,85,0,0,3.75,21.25,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,10.5,0,0,0,0,0
1,0.25,0,0,0,0,0,0,0.5,0,2.5,0.5,0.75,0,1.25,0,87.5,0,0.5,9.5,13.75,0,0,0,0.25,0,0,0,0,0,0,0,0,14.25,0,0,0.75,0,0
2,0.5,0,0.75,0,0,0,0.25,1.5,0.25,0,0.25,0.5,0,1.25,1,57.5,35,0,0,18.75,2.75,0,0,0,0,1.25,0,2.5,0,0,0,0.25,1.5,67.5,0,0,0,0.75
3,0.25,0,0.75,0,4.25,0.25,0.5,1.75,0,1.25,0.5,0,0,0.5,0.75,53.75,2.75,0.25,0,33.75,3.5,0,0,0.25,0,8,0,0.75,0,0,0,0,46.75,0,1.25,0,0,0
4,0,0,0,3.75,5.5,8,0,1.75,0,0,0,0.5,0,3.75,1.75,91.25,2,0,3,20,4.5,0,0,0,0,8.25,0,0.5,0,5.5,0,6.75,4.25,0,0,0,0,0
5,0.75,0,12.75,0,0,0,0.25,2,0,0,0.5,0,0,3.5,0.25,91.25,0,0,5.75,21.25,0,0,0.5,0.25,1.75,1.25,0,1,0.75,7.5,0,0,22,0,1,0,0,0
6,0.5,0,3.25,13.25,0,0,0,2.25,0.75,0,0,0,0,1.75,0.25,95,1.25,0,0,13,0,0,0,0,0,1,0,0,0,0,0,1.5,36.25,0,0,0,0,0.75
7,0.25,0,3,0,0,0,0.5,2,0,13.75,0.25,0.25,0,0.75,0.25,93.75,6.25,0,0,14.25,0,0,0,0,0,1.5,0,0,0,0,0,4.5,19.25,5,0,0,0,1.5
8,1,0,0,0,0,0,0.25,0.5,0,2,0,0,0,1.75,0.75,96.25,0,0,0,10.75,0,0,0,5.25,0,11.75,0,0,0,0,0,6.5,10,1.75,0.75,0,0,0
9,1,0,2,0,0,0,0.25,1.5,1,0,1.25,0.25,0,0.5,2.25,75,1.25,1,0,14.25,2.75,0,0,11.75,8.5,5.75,0,2,0,0,0.25,0,21.75,0,7,0,0,3.5
10,1.25,0,7.5,0,0,0,0,0.75,0.25,0,0.25,0.25,0,1.5,2.25,67.5,11.25,0,0.75,9.25,0.25,8,0,0.25,15,0.25,0,4.75,3.75,0,0,0,0,17,52.5,0,0,0
11,0.5,0,0,1.25,0,0,0.5,2.25,0,0,0,0.75,0,2.5,1,45,6.25,0,0.75,61.25,0,0,0,0.75,0,0,0,0,2.25,0,0,0,3.75,0,12.5,0,0,0
12,0.25,0,0,0,0,0,0.25,1.5,0,0,0.25,1,0,2.5,2,65,22,0,0.75,20,0.5,0,0,0,0,1,0,0,0,0.75,0,0,52.5,0,0,0,0,2.25
13,1.5,0.5,1.5,0,10.75,0,0,0.5,0,7.5,0.25,0.5,0,2.5,0.75,66.25,0.75,0,0,33.75,1,0,0,0.25,0,1.5,0,0,0,0,0,0,26.5,0,0,0,4.75,0.5
14,0,0,0,0,82.5,0,0.25,0,0,0,0,0,0,2.25,0,58.75,0,0,0,22.5,0,0,0,0,0,0,0,1,0,0,0,0,5.5,0,0,0,0,0.25
15,0.25,0,0,0,0,0,0,1.5,0,8,0,0.75,0,2.75,0.75,88.75,0,0,0,23.75,0,0,0,0,0,0,0,0,0.25,0,0,0.25,15.75,0,0,0,0,0
1,0.25,0,0,0,0,0,0.25,1.25,0,2,0,0,0,3.5,0.75,78.75,2,0.75,7.5,36.25,0,0,0.5,0,0,0,0,0,0,0,0,0,17.25,0,0,0.5,0,0
2,0,0,1.25,0,0,0,0,1.75,0,0,0,0,0,2.5,0.75,25,10.75,0.25,0,85,1.5,0,0,0,0,2.75,0,2.5,0,0,0,0,2.75,70,0,0,0,0.75
3,0.5,0.5,0.75,0,4.5,0,0,2,0,0,0,0,0,0.25,1,72.5,2.5,0.5,0,5.5,0.75,0,0,0.5,0,11.5,0,0,0,0.25,0,0,48.75,0,1.25,0,0,0
4,0,0,0,2,7.5,7,0,0.75,0,0,0,0,0,9,1.5,72.5,2.5,0.25,0,43,1.75,0,0.5,0,0,4,0,0.75,0,2.5,0,7.5,3.25,0,0,0,0,0
5,1.25,0,7,0,0,0,0,1.75,0,0,0,0,0,4.75,0.75,70,0.25,0,19.25,37.5,0,0,0.25,0,1.5,1,0,0,2.5,4.25,0,0,16.25,0,0,2.5,0,0
6,0.5,0,1.25,12.5,0,0,0,1.5,1,0,0,0,0,2.25,0.5,95,0,0,0,20,0,0,0,0,0,1.5,0,0,0,0,0,1.25,48.75,0,0,0,0,0.75
7,0,0,0.75,0.75,0,0,0,1.5,0.25,7.5,0,0,0,1,0.5,100,0,0,0,11.75,0,0,0.5,0,0,1.5,0,0,0,0,0,0.5,31.75,6.5,0,0,0,0
8,1,0,0,0,0,0,0,1.75,0,0.5,0,0,0,4.25,1,100,0,0.5,0,5,1.5,0,0,1.25,0,7,0,0,0,0,0,1.75,3.75,0.75,0.25,0,0,0
9,1,0,2.25,0,0,0,0.5,1.5,0.5,0,0,0,0,1,1.75,83.75,3.25,1.75,0,5,2,0,0,3.5,11.25,3.75,0,1,0,0,0,0,30.5,0,4.5,0,0,1
10,0.5,0,3.5,0,0,1.5,0,1.5,0.25,0,0,0,0,2,1.5,87.5,5.75,0,1.25,2.5,0.25,16.25,0.25,0,12,0,0,2.5,4,0,0,0,1.25,13,19.75,0,0,0
11,0.25,0.25,0,0,0,0,0,1,0,0,0,0,0,2.25,0.75,42.25,5.5,0,0.5,78.75,0,0,1,0.25,0,0,0.25,0.25,4.5,0,0,0,3,0,17.5,0,0,0
12,0,0.25,0,0,0,0,0.25,0.75,0,0,0,0,0,2.5,0.75,77.5,7.5,0,0,3.25,2.75,0,1,0,0,1,0,0,1,0,0,0,71.25,0,0,0,0,1
13,1.5,0,0.25,0,20.5,0,0.25,0.75,0,10.25,0,0,0,2.75,0.75,56.25,0,0,0,52.5,1,0,2,0,0,1.75,0,0,0,0,0,0,24.25,0,0,0,3,0
14,0.25,0,0.25,0,78.75,0,0.5,0,0,0,0,0,0,5.5,0.25,82.5,0,0.75,1.25,12,0.75,0,0.25,0,0,0,0,0.75,0,0,0,0,2.5,0,0,0,0,0.25
15,0.25,0,0.25,0,0,0,0,1,0.25,12,0,0,0,2.75,0.5,92.5,0,0,0.75,23,1.75,0,0.5,0,0,0,0,0,0.5,0,0,1.25,22.5,0,0,0,0,0
1,0.5,0,0,0,0,0,0.25,0,0,3.75,1,0.25,0,3.5,0.5,88.75,0,0,2,15,0,0,0,0,0,0.25,0,0,0,0,0,0,19.25,0,0.75,1.25,0,0
2,0.25,0,1.5,0,0,0,0,0.25,0.75,0,0.25,0.25,0,1.25,0,82.5,12.5,0.5,0,16.5,4.75,0,0,0,0,2.75,0.25,2.25,0,0,0,0.25,3.25,80,0,0,0,0.5
3,0.5,0.75,0.5,0.5,5.5,0,0.25,2,0,0,0,0.5,0,0.75,1.5,91.25,0.25,0,0,11.25,3.25,0,0,0,0,7.5,0,0,0,0,0,0,41.25,0,0.75,0,0,0
4,0,0,0,2.5,13,10,0,1,0,0,0,0.25,0,3.5,2,53.75,2,0,2,53.75,9.75,0,0,0,0,3.75,0,0.75,0,3.5,0,7.5,7.25,0,0,0,0,0
5,0.75,0,11.5,0,0,0,0.25,1.5,0,0,0.5,0,0,5.75,0.5,60,0,0,8.25,45,0,0,0.75,0,1.25,0.5,0,0.5,1.25,7.5,0,0,19.25,0,0,2.5,0,0
6,0.5,0,1.5,10,0,0,0,1.75,0.75,0,0.25,0.25,0,2.25,0.25,32.5,0.25,0,0,65,0,0,0,0,0,1,0,0,0.5,0,0.25,1.5,61.25,0,0,0,0,1.5
7,0.5,0,0.75,0.5,0,0,0,1.5,0,8.75,0,0,0,1.25,0.5,45,0,0,0,58.75,0.5,0,0,0,0,2.25,0,0,0,0,0,3.5,38.75,16,0,0,0,2.25
8,0.75,0,0,0,0,0,0,1,0,4.5,0.75,0,0,4,1,93.75,0,0,0,10,2.5,0,0,1,0,8,0,0,0,0,0,4.25,5.25,7.25,1,0,0,0
9,0.25,0,3.5,0,0,0,0.25,1.5,0.5,0,0.75,0,0,1.5,1.75,42.5,0.5,0,0,43.75,1.25,0,0,3.5,10,4,0,3.25,0,0,0.25,0,34.25,0,6.25,0,0,4
10,0.5,0,6.75,0,0,0,0,1.25,0.25,0,0.25,0.25,0,3.75,0.75,13.75,5.25,0,1,60,0.25,13.75,0,0,15,0.75,0,3.25,6.25,0,0,0,1,52.5,20,0,0,0
11,0.5,0,0,3.75,0,0,1,0.75,0,0,0,1,0,2.75,1,33.75,5,0,1,91.25,1.5,0,0,0,0,0,0.25,0,2.75,0,0,0,6,0.25,13.25,0,0,0
12,0.25,0.5,0,0,1.25,0,0,1.25,0,0,1,0.5,0,3,2.25,61.25,17,0,0,15,3,0,0,0,0.5,1.5,0.25,0,1.25,0,0,0,68.75,0,0,0,0.25,0.75
13,1,0,0,0,35,0,0.25,0.5,0,7.5,0.25,1.5,0,0,0.25,72.5,0,0,0,12,6.5,0,0,0,0,2.5,0,0,0,0,0,0,28.25,0,0,0,4.75,0
14,0,0,0.5,0,95,0,0,0.25,0,0.25,0,0,0,2,0.5,71.25,0,0,1.25,11.25,0,0,0,0,0,0,0,1.25,1,0,0,0.5,2,0,0,0,0,0
15,0.5,0,0.25,0,0,0,0.25,1,0,5.75,0.25,0.75,0,3.5,0.75,85,0,0,1.25,22.5,0.75,0,0,0,0,0,0,0,0,0,0,1.25,42,0,0,0,0,0
1,0.25,0,0,0,0,0,0,0,0,2,0.25,0.25,0,2,0.75,86.25,0.5,0,5.25,13.75,0.5,0,0,0,0,1.25,0,0,0,0,0,0,31.25,0,0.5,0.5,0,0
2,0,0,2.75,0.25,0,0,0,0.75,0,0,0,0,0,1,0.5,90,6.25,0,1.25,15,0.75,0,0,0,0,2.75,0,1,0,0,0,0,12.5,81.25,0,0,0.25,0.5
3,0,0.5,1.25,1.25,2.25,0,0,1.5,0,0,0.25,0,0,0,1,93.75,3.25,0,0,7.5,1.75,0,0,0.25,1.25,5,0,0,0,2.25,0,0,66.25,0,1.25,0,0,0
4,0.25,0,0,2,16.75,7.5,0.25,1.5,0,0,0,0.25,0.25,6,2.25,46.25,3.25,0,2.5,58.75,3.25,0,0,0,0,11,0,0.5,0,2.25,0,1.5,15.5,0,0,0,0,0
5,0.5,0,19.25,1.25,0,0,0,1.75,0,0,0,0,0,1.75,0.5,26.25,0,0,12.25,72.5,0,0,0,0,2,0.5,0,0,3,9.75,0,0,32,0,0,1.25,0,0
6,0.5,0,0.75,10,0,0,0,0.75,0.75,0,0,0,0,1,0,56.25,0.5,0.25,0,11.25,0.75,0,0,0,0,0.75,0,0,0,0,0,0.5,85,0,0,0,0,1.5
7,0,0,0.75,0,0,0,0,1,0,6.75,0,0,0,0.25,0.25,90,3.25,0,0,5.25,0,0,0,0,0,1.5,0,0,0,0,0,0.5,46.25,6.25,0,0,0,0.75
8,0,0,0,0,0,0,0,0,0.25,3.25,0.25,0,0,3,1.75,95,0,0,0,13.25,0,0,0,0,0,4.75,0,0,0,0,0,0.75,6.25,7.5,1,0,0,0
9,0,0,2.5,0,0,0,0.25,1.25,0.25,0,0,0.25,0,0,2.25,88.75,1.5,0.5,0,17.25,1.75,0,0.5,1,12.5,1.25,0,1,0,0,0.25,0,48.75,0,11.25,0,0,2.5
10,0.75,0,6.25,0,0,0,0,1.75,0,0,0,0.25,0,1.5,0.25,58.75,0.5,0,1.25,12,0,36.25,0,0,15.5,1.5,0,3.5,5,0,0,0,0,50,30,0,0,0
11,0.5,0,0,2.5,0,0,0.5,0.75,0,0,0,0.25,0,2.5,1.25,92.5,2.5,0,1.25,11.25,0,0,0,0.25,0,0,0,0,2,0,0,0.25,14.25,0,11.75,0,0,0
12,0.25,0.25,0,0,0,0.25,0,1,0,0,0,0.25,0,1.5,1,72.5,7.5,0,0,8.75,1.5,0,0,0,0.25,0.5,0.25,0,1.5,0.25,0,0.25,77.5,0,0,0,0.25,0
13,1,0,0,0,17.5,0,0,0.25,0,8.75,0,0.25,0,1.5,0.25,91.75,2,0,0,10,2.25,0,0,0,0,3.25,0,0,0.25,0,0,0,37.5,0,0,0,3,0.75
14,0,0,1,0,68.75,0,0,0.5,0,0,0.5,0,0,4.5,0.5,88.75,0,0,3.25,14.25,0,0,0,0.5,0,0,0,1.25,3,0.25,0,0.25,7,0,0,0,0,0
15,0,0,1.25,0.75,0,0,0,0.75,0,9.5,0.25,0.25,0,3.5,0.75,88.75,0,0,2,17.5,0.25,0,0,0,0,0,0,0,1,0,0,0.75,35,0,0,0,0,0
1,0.25,0,0,0,0,0,0,0.5,0,2.5,0,0,0,3.25,0.75,78.75,2,0.25,11.75,13.25,0,0,0,0.5,0,0.25,0,0,0,0,0,0,16.75,0,1.25,0.5,0,0
2,0,0,2.75,1.25,0.5,0,0,1.5,0,0,0,0.25,0,0.75,0.5,21.25,6,1.75,0.75,76.25,0.75,0,0,0,0,2.5,0,0.25,0,0,0,0.25,11.25,47.5,0,0,0,0.75
3,0,0.25,2.5,0,2.75,0,0,1.5,0,0,0,0.25,0,0.25,1.25,36.25,1.5,0.25,0,56.25,2.5,0,0,0,0,4,0,0,0,1.75,0,0,33.75,0,0.75,0,0,0
4,0,0,0,2.25,5.75,9,0,1,0,0,0,0.25,0,5,1.25,41.25,0,0.25,4.5,53.75,7,0,0,0,0,7.25,0,0,0,5,0,4.25,8.5,0,0,0,0,0
5,0.5,0,12.75,0.75,0,0,0.25,1.75,0,0,0,0,0,4.25,0,33.75,0,0,30.25,53.75,0,0,0,0,3.5,0,0,1,1.25,5.25,0,0,24.25,0,0,1.75,0,0
6,0.5,0,1,3,0,0,0,1.75,0,0,0,0,0,1.5,0.75,33.75,0,0,0,60,0.25,0,0,0,0,0.75,0,0,0,0,0.25,1.25,60,0,0,0,0,0.25
7,0,0,0.25,0,0,0,0,1.25,0,2.5,0,0,0,0.75,0.25,60,8.75,0.25,0,40,0,0,0,0,0,1.5,0,0,0,0,0,1.25,35,0,0,0,0,0.75
8,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,5.25,1.5,96.25,1.5,0.5,0,8.5,1,0,0,0,0,2.25,0,0,0,0,0,1.5,0.75,9.75,0,0,0,0
9,0.5,0,1,0,0,0,0,1,0.5,0,0.25,0,0,0.75,1.75,86.25,1.25,0.75,0,11.25,1.75,0,0,0.25,13.5,1,0,1.75,0,0,0,0,38.75,0,5,0,0,2.75
10,0,0,2.75,0,0,0,0,1.25,0,0,0,0,0,6.5,0.5,57.5,2.5,0.25,0.75,3.5,0.25,28.75,0,0,22.5,0.75,0,2.25,2.5,0,0,0,1.25,62.5,12.5,0,0,0
11,0,0,0,2.5,0,0,0,1,0,0,0,0.25,0,3.25,1.5,25,4.5,0,5.25,70,0,0,0,0,0,0,0,0,3.25,0,0,0,23,0,16.25,0,0,0
12,0,0,0,0,0.5,0,0,1,0,0,0.5,0.25,0,3.5,1,20.75,25.25,0,0.25,56.25,1.25,0,0,0,0,0.75,0,0,1.25,0,0,0.5,53.25,0,0,0,0,0.75
13,1.25,0,0.25,0,8.75,0,0.25,0.25,0,2.75,0,0.25,0,4.25,0.5,28.75,1.25,0.25,0,70,1.25,0,0,0,0,1.25,0,0,0.5,0,0,0,23.75,0,0,0,2,0
14,0,0,1.75,0,45,0,0,0.25,0,0,0,0.25,0,5.5,0.25,31.25,1.5,0,5.5,58.75,0,0,0,0,0,0,0,0.75,0.5,0,0,0.25,2,0,0,0,0,0
15,0.25,0,1.25,0.25,0,0,0,0.75,0,3,0,0.25,0,2.5,0.5,46.25,0,0.5,4.25,55,0,0,0,0,0,0,0,0,0.25,0,0,1.25,20.5,0,0,0,0,0
1,0.25,0,0.25,0,0,0,0,0,0,1.25,0,1,0,1.75,1.25,82.5,0,0.25,6,5.25,0,0,0,1.25,0,0.5,0,0,0,0,0,0,17.5,0,0.75,0,0,0
2,0,0,0.75,0.5,0,0,0,0.25,0,0,0,0,0,0.75,0,68.75,9.75,0,0,15,4.25,0,0,0,0,2,0,0.5,0,0,0,0,13.5,46.25,0,0,0.25,0.5
3,0,0,1.25,0.5,0,0,0,1.25,0,0,0,0,0,0.5,1.75,62.5,0.75,0,0,27.5,3.75,0,0,0.5,1,2,0,0,0,2,0,0,21.75,0,0.25,0,0,0
4,0,0,0,2,3,6.5,0,0.5,0,0,0,0,0,3.25,0.5,48.75,2,0.25,3,41.25,4.5,0,0.25,0,0,8.5,0,0,0,2,0,3.75,6.75,0,0,0,0,0
5,0.25,0,15.75,0,0,0,0,1,0,0,0,0,0,2,0,32.5,0,0,28.75,47.5,0,0,0,0,3.5,0,0,1.25,2.5,3.5,0,0,25.5,0,0,1.25,0,0
6,0.25,0,0.5,1.25,0,0,0,1,0,0,0,0,0,0.75,0.25,33.75,0,0.25,0,62.5,0.75,0,0,0,0,0.5,0,0,0,0,0.5,1.75,46.25,0,0,0,0,2.5
7,0.25,0,0,0,0,0,0,1,0,3,0,0,0,0.5,0,67.5,0,0,0,36.25,0.5,0,0,0,0,0.5,0,0,0,0,0,0.75,18.25,11.75,0,0,0,1
8,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2.5,1,97.5,0.5,0,0.5,6.5,1.25,0,0,0,0,1.5,0,0,0,0,0,3.75,0,17.5,0,0,0,0
9,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0.75,1,72.5,1.25,1,0,23.75,1,0,0,0,13,1.25,0,1.75,0,0,0,0,36.25,0,4.5,0,0,2.25
10,0.25,0,0.75,0,0,0,0,0.75,0,0,0,0,0,2,0.25,35,3,0.75,0.75,15,0.75,35,0,0,26.25,0.25,0,1.75,2.25,0,0.25,0.5,1.25,33.75,2,0,0,0
11,0,0,0,0.75,0,0,0,0.5,0,0,0,0,0,2,0.5,32.5,2.5,0,7.75,66.25,0.5,0,0.25,0,0,0,0,0,1.5,0,0,0,40,0,10.75,0,0,0
12,0.25,0,0,0,1,0,0,0.75,0,0,0,0,0,1.75,1.75,40,22.5,0,0.25,33.75,1.75,0,0,0,2,0.75,0,0,0.75,0.5,0,0,31.25,0,0,0,0,1
13,1.25,0,0.25,0,1,0,0,0.25,0,2.75,0,0,0,2,1,30,0,0,0,68.75,5.75,0,0.25,0.75,0,0.5,0,0,1,0,0,0,5.25,0,0,0,2.75,0
14,0,0,0.75,0,22,0,0,0.25,0,0,0,0,0,2.75,0,57.5,0,0,4.5,43.75,1,0,0,0,0,0,0.25,1.5,0.75,0.5,0,0,2.5,0,0,0,0,0
15,0,0,1.5,0.5,0,0,0,0.75,0,3.75,0,0,0,3.25,0.75,72.5,0,1,5.5,27.5,0.25,0,0.25,0,0,0,0,0,2.5,0,0,1.25,5,0,0,0,0,0
