"","Seq","AOU","English_Common_Name","French_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species"
"1",4,10010,"Great Tinamou                                      ","Grand Tinamou                                      ","Tinamus major                                      ","Tinamiformes                                       ","Tinamidae                                          ","Tinamus                                            ","major                                             "
"2",7,10030,"Little Tinamou                                     ","Tinamou soui                                       ","Crypturellus soui                                  ","Tinamiformes                                       ","Tinamidae                                          ","Crypturellus                                       ","soui                                              "
"3",10,40080,"Thicket Tinamou                                    ","Tinamou cannelle                                   ","Crypturellus cinnamomeus                           ","Tinamiformes                                       ","Tinamidae                                          ","Crypturellus                                       ","cinnamomeus                                       "
"4",13,10050,"Slaty-breasted Tinamou                             ","Tinamou de Boucard                                 ","Crypturellus boucardi                              ","Tinamiformes                                       ","Tinamidae                                          ","Crypturellus                                       ","boucardi                                          "
"5",16,1770,"Black-bellied Whistling-Duck                       ","Dendrocygne à ventre noir                          ","Dendrocygna autumnalis                             ","Anseriformes                                       ","Anatidae                                           ","Dendrocygna                                        ","autumnalis                                        "
"6",19,10200,"West Indian Whistling-Duck                         ","Dendrocygne des Antilles                           ","Dendrocygna arborea                                ","Anseriformes                                       ","Anatidae                                           ","Dendrocygna                                        ","arborea                                           "
"7",22,1780,"Fulvous Whistling-Duck                             ","Dendrocygne fauve                                  ","Dendrocygna bicolor                                ","Anseriformes                                       ","Anatidae                                           ","Dendrocygna                                        ","bicolor                                           "
"8",25,20590,"Swan Goose                                         ","Oie cygnoïde                                       ","Anser cygnoides                                    ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","cygnoides                                         "
"9",28,1711,"Taiga Bean-Goose                                   ","Oie des moissons                                   ","Anser fabalis                                      ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","fabalis                                           "
"10",31,1714,"Tundra Bean-Goose                                  ","Oie de la toundra                                  ","Anser serrirostris                                 ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","serrirostris                                      "
"11",34,1712,"Pink-footed Goose                                  ","Oie à bec court                                    ","Anser brachyrhynchus                               ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","brachyrhynchus                                    "
"12",37,1710,"Greater White-fronted Goose                        ","Oie rieuse                                         ","Anser albifrons                                    ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","albifrons                                         "
"13",40,1713,"Lesser White-fronted Goose                         ","Oie naine                                          ","Anser erythropus                                   ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","erythropus                                        "
"14",43,20600,"Graylag Goose                                      ","Oie cendrée                                        ","Anser anser                                        ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","anser                                             "
"15",46,1760,"Emperor Goose                                      ","Oie empereur                                       ","Chen canagica                                      ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","canagica                                          "
"16",49,1690,"Snow Goose                                         ","Oie des neiges                                     ","Chen caerulescens                                  ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","caerulescens                                      "
"17",52,1691,"(Blue Goose) Snow Goose                            ","Oie des neiges (forme bleue)                       ","Chen caerulescens (blue form)                      ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","caerulescens (blue form)                          "
"18",55,1700,"Ross's Goose                                       ","Oie de Ross                                        ","Chen rossii                                        ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","rossii                                            "
"19",58,1730,"Brant                                              ","Bernache cravant (groupe bernicla)                 ","Branta bernicla                                    ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","bernicla                                          "
"20",61,1740,"(Black Brant) Brant                                ","Bernache cravant (groupe nigricans)                ","Branta bernicla nigricans                          ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","bernicla nigricans                                "
"21",64,1750,"Barnacle Goose                                     ","Bernache nonnette                                  ","Branta leucopsis                                   ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","leucopsis                                         "
"22",67,1725,"Cackling Goose                                     ","Bernache de Hutchins                               ","Branta hutchinsii                                  ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","hutchinsii                                        "
"23",70,1720,"Canada Goose                                       ","Bernache du Canada                                 ","Branta canadensis                                  ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","canadensis                                        "
"24",76,1782,"Mute Swan                                          ","Cygne tuberculé                                    ","Cygnus olor                                        ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","olor                                              "
"25",79,80380,"Black Swan                                         ","Cygne noir                                         ","Cygnus atratus                                     ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","atratus                                           "
"26",82,1810,"Trumpeter Swan                                     ","Cygne trompette                                    ","Cygnus buccinator                                  ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","buccinator                                        "
"27",85,1800,"Tundra Swan                                        ","Cygne siffleur                                     ","Cygnus columbianus                                 ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","columbianus                                       "
"28",88,1790,"Whooper Swan                                       ","Cygne chanteur                                     ","Cygnus cygnus                                      ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","cygnus                                            "
"29",91,20630,"Egyptian Goose                                     ","Ouette d'Égypte                                    ","Alopochen aegyptiaca                               ","Anseriformes                                       ","Anatidae                                           ","Alopochen                                          ","aegyptiaca                                        "
"30",94,10210,"Muscovy Duck                                       ","Canard musqué                                      ","Cairina moschata                                   ","Anseriformes                                       ","Anatidae                                           ","Cairina                                            ","moschata                                          "
"31",97,1440,"Wood Duck                                          ","Canard branchu                                     ","Aix sponsa                                         ","Anseriformes                                       ","Anatidae                                           ","Aix                                                ","sponsa                                            "
"32",100,20670,"Mandarin Duck                                      ","Canard mandarin                                    ","Aix galericulata                                   ","Anseriformes                                       ","Anatidae                                           ","Aix                                                ","galericulata                                      "
"33",103,1350,"Gadwall                                            ","Canard chipeau                                     ","Anas strepera                                      ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","strepera                                          "
"34",106,1371,"Falcated Duck                                      ","Canard à faucilles                                 ","Anas falcata                                       ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","falcata                                           "
"35",109,1360,"Eurasian Wigeon                                    ","Canard siffleur                                    ","Anas penelope                                      ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","penelope                                          "
"36",112,1370,"American Wigeon                                    ","Canard d'Amérique                                  ","Anas americana                                     ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","americana                                         "
"37",115,1330,"American Black Duck                                ","Canard noir                                        ","Anas rubripes                                      ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","rubripes                                          "
"38",118,1320,"Mallard                                            ","Canard colvert                                     ","Anas platyrhynchos                                 ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","platyrhynchos                                     "
"39",121,1331,"(Mexican Duck) Mallard                             ","Canard du Mexique                                  ","Anas platyrhynchos diazi                           ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","platyrhynchos diazi                               "
"40",124,1340,"Mottled Duck                                       ","Canard brun                                        ","Anas fulvigula                                     ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","fulvigula                                         "
"41",127,1326,"hybrid Mallard x Black Duck or Mottled Duck        ","hybride Canard colvert x Canard noir               ","Anas platyrhynchos x rubripes or fulvigula         ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","platyrhynchos x rubripes or fulvigula             "
"42",136,1341,"Eastern Spot-billed Duck                           ","Canard de Chine                                    ","Anas zonorhyncha                                   ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","zonorhyncha                                       "
"43",139,1400,"Blue-winged Teal                                   ","Sarcelle à ailes bleues                            ","Anas discors                                       ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","discors                                           "
"44",142,1410,"Cinnamon Teal                                      ","Sarcelle cannelle                                  ","Anas cyanoptera                                    ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","cyanoptera                                        "
"45",145,1420,"Northern Shoveler                                  ","Canard souchet                                     ","Anas clypeata                                      ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","clypeata                                          "
"46",148,1431,"White-cheeked Pintail                              ","Canard des Bahamas                                 ","Anas bahamensis                                    ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","bahamensis                                        "
"47",151,1430,"Northern Pintail                                   ","Canard pilet                                       ","Anas acuta                                         ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","acuta                                             "
"48",154,1392,"Garganey                                           ","Sarcelle d'été                                     ","Anas querquedula                                   ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","querquedula                                       "
"49",157,1391,"Baikal Teal                                        ","Sarcelle élégante                                  ","Anas formosa                                       ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","formosa                                           "
"50",160,1390,"Green-winged Teal                                  ","Sarcelle d'hiver                                   ","Anas crecca                                        ","Anseriformes                                       ","Anatidae                                           ","Anas                                               ","crecca                                            "
"51",163,1470,"Canvasback                                         ","Fuligule à dos blanc                               ","Aythya valisineria                                 ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","valisineria                                       "
"52",166,1460,"Redhead                                            ","Fuligule à tête rouge                              ","Aythya americana                                   ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","americana                                         "
"53",169,1461,"Common Pochard                                     ","Fuligule milouin                                   ","Aythya ferina                                      ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","ferina                                            "
"54",172,1500,"Ring-necked Duck                                   ","Fuligule à collier                                 ","Aythya collaris                                    ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","collaris                                          "
"55",175,1491,"Tufted Duck                                        ","Fuligule morillon                                  ","Aythya fuligula                                    ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","fuligula                                          "
"56",178,1480,"Greater Scaup                                      ","Fuligule milouinan                                 ","Aythya marila                                      ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","marila                                            "
"57",181,1490,"Lesser Scaup                                       ","Petit Fuligule                                     ","Aythya affinis                                     ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","affinis                                           "
"58",184,1489,"unid. Greater Scaup / Lesser Scaup                 ","unid Fuligule milouinan / Petit Fuligule           ","Aythya marila / affinis                            ","Anseriformes                                       ","Anatidae                                           ","Aythya                                             ","marila / affinis                                  "
"59",187,1570,"Steller's Eider                                    ","Eider de Steller                                   ","Polysticta stelleri                                ","Anseriformes                                       ","Anatidae                                           ","Polysticta                                         ","stelleri                                          "
"60",190,1580,"Spectacled Eider                                   ","Eider à lunettes                                   ","Somateria fischeri                                 ","Anseriformes                                       ","Anatidae                                           ","Somateria                                          ","fischeri                                          "
"61",193,1620,"King Eider                                         ","Eider à tête grise                                 ","Somateria spectabilis                              ","Anseriformes                                       ","Anatidae                                           ","Somateria                                          ","spectabilis                                       "
"62",196,1590,"Common Eider                                       ","Eider à duvet                                      ","Somateria mollissima                               ","Anseriformes                                       ","Anatidae                                           ","Somateria                                          ","mollissima                                        "
"63",199,1550,"Harlequin Duck                                     ","Arlequin plongeur                                  ","Histrionicus histrionicus                          ","Anseriformes                                       ","Anatidae                                           ","Histrionicus                                       ","histrionicus                                      "
"64",202,1660,"Surf Scoter                                        ","Macreuse à front blanc                             ","Melanitta perspicillata                            ","Anseriformes                                       ","Anatidae                                           ","Melanitta                                          ","perspicillata                                     "
"65",205,1650,"White-winged Scoter                                ","Macreuse brune                                     ","Melanitta fusca                                    ","Anseriformes                                       ","Anatidae                                           ","Melanitta                                          ","fusca                                             "
"66",208,1630,"Black Scoter                                       ","Macreuse noire                                     ","Melanitta americana                                ","Anseriformes                                       ","Anatidae                                           ","Melanitta                                          ","americana                                         "
"67",211,1657,"unid. Scoter                                       ","unid macreuse sp.                                  ","Melanitta perspicillata / fusca / americana        ","Anseriformes                                       ","Anatidae                                           ","Melanitta                                          ","perspicillata / fusca / americana                 "
"68",214,1540,"Long-tailed Duck                                   ","Harelde kakawi                                     ","Clangula hyemalis                                  ","Anseriformes                                       ","Anatidae                                           ","Clangula                                           ","hyemalis                                          "
"69",217,1530,"Bufflehead                                         ","Petit Garrot                                       ","Bucephala albeola                                  ","Anseriformes                                       ","Anatidae                                           ","Bucephala                                          ","albeola                                           "
"70",220,1510,"Common Goldeneye                                   ","Garrot à oeil d'or                                 ","Bucephala clangula                                 ","Anseriformes                                       ","Anatidae                                           ","Bucephala                                          ","clangula                                          "
"71",223,1520,"Barrow's Goldeneye                                 ","Garrot d'Islande                                   ","Bucephala islandica                                ","Anseriformes                                       ","Anatidae                                           ","Bucephala                                          ","islandica                                         "
"72",226,1512,"unid. Common Goldeneye / Barrow's Goldeneye        ","unid Garrot à oeil d'or / Garrot d'Islande         ","Bucephala clangula / islandica                     ","Anseriformes                                       ","Anatidae                                           ","Bucephala                                          ","clangula / islandica                              "
"73",229,1311,"Smew                                               ","Harle piette                                       ","Mergellus albellus                                 ","Anseriformes                                       ","Anatidae                                           ","Mergellus                                          ","albellus                                          "
"74",232,1310,"Hooded Merganser                                   ","Harle couronné                                     ","Lophodytes cucullatus                              ","Anseriformes                                       ","Anatidae                                           ","Lophodytes                                         ","cucullatus                                        "
"75",235,1290,"Common Merganser                                   ","Grand Harle                                        ","Mergus merganser                                   ","Anseriformes                                       ","Anatidae                                           ","Mergus                                             ","merganser                                         "
"76",238,1300,"Red-breasted Merganser                             ","Harle huppé                                        ","Mergus serrator                                    ","Anseriformes                                       ","Anatidae                                           ","Mergus                                             ","serrator                                          "
"77",241,1680,"Masked Duck                                        ","Érismature routoutou                               ","Nomonyx dominicus                                  ","Anseriformes                                       ","Anatidae                                           ","Nomonyx                                            ","dominicus                                         "
"78",244,1670,"Ruddy Duck                                         ","Érismature rousse                                  ","Oxyura jamaicensis                                 ","Anseriformes                                       ","Anatidae                                           ","Oxyura                                             ","jamaicensis                                       "
"79",247,3110,"Plain Chachalaca                                   ","Ortalide chacamel                                  ","Ortalis vetula                                     ","Galliformes                                        ","Cracidae                                           ","Ortalis                                            ","vetula                                            "
"80",250,10572,"Rufous-bellied Chachalaca                          ","Ortalide à ventre marron                           ","Ortalis wagleri                                    ","Galliformes                                        ","Cracidae                                           ","Ortalis                                            ","wagleri                                           "
"81",253,10570,"West Mexican Chachalaca                            ","Ortalide de Wagler                                 ","Ortalis poliocephala                               ","Galliformes                                        ","Cracidae                                           ","Ortalis                                            ","poliocephala                                      "
"82",256,10571,"White-bellied Chachalaca                           ","Ortalide à ventre blanc                            ","Ortalis leucogastra                                ","Galliformes                                        ","Cracidae                                           ","Ortalis                                            ","leucogastra                                       "
"83",259,10600,"Crested Guan                                       ","Pénélope panachée                                  ","Penelope purpurascens                              ","Galliformes                                        ","Cracidae                                           ","Penelope                                           ","purpurascens                                      "
"84",262,10590,"Highland Guan                                      ","Pénélope pajuil                                    ","Penelopina nigra                                   ","Galliformes                                        ","Cracidae                                           ","Penelopina                                         ","nigra                                             "
"85",265,10610,"Horned Guan                                        ","Oréophase cornu                                    ","Oreophasis derbianus                               ","Galliformes                                        ","Cracidae                                           ","Oreophasis                                         ","derbianus                                         "
"86",268,10620,"Great Curassow                                     ","Grand Hocco                                        ","Crax rubra                                         ","Galliformes                                        ","Cracidae                                           ","Crax                                               ","rubra                                             "
"87",271,2961,"Helmeted Guineafowl                                ","Pintade de Numidie                                 ","Numida meleagris                                   ","Galliformes                                        ","Numididae                                          ","Numida                                             ","meleagris                                         "
"88",274,10650,"Bearded Wood-Partridge                             ","Colin barbu                                        ","Dendrortyx barbatus                                ","Galliformes                                        ","Odontophoridae                                     ","Dendrortyx                                         ","barbatus                                          "
"89",277,10640,"Long-tailed Wood-Partridge                         ","Colin à longue queue                               ","Dendrortyx macroura                                ","Galliformes                                        ","Odontophoridae                                     ","Dendrortyx                                         ","macroura                                          "
"90",280,10660,"Buffy-crowned Wood-Partridge                       ","Colin à sourcils blancs                            ","Dendrortyx leucophrys                              ","Galliformes                                        ","Odontophoridae                                     ","Dendrortyx                                         ","leucophrys                                        "
"91",283,2920,"Mountain Quail                                     ","Colin des montagnes                                ","Oreortyx pictus                                    ","Galliformes                                        ","Odontophoridae                                     ","Oreortyx                                           ","pictus                                            "
"92",286,2930,"Scaled Quail                                       ","Colin écaillé                                      ","Callipepla squamata                                ","Galliformes                                        ","Odontophoridae                                     ","Callipepla                                         ","squamata                                          "
"93",289,10780,"Elegant Quail                                      ","Colin élégant                                      ","Callipepla douglasii                               ","Galliformes                                        ","Odontophoridae                                     ","Callipepla                                         ","douglasii                                         "
"94",292,2940,"California Quail                                   ","Colin de Californie                                ","Callipepla californica                             ","Galliformes                                        ","Odontophoridae                                     ","Callipepla                                         ","californica                                       "
"95",295,2950,"Gambel's Quail                                     ","Colin de Gambel                                    ","Callipepla gambelii                                ","Galliformes                                        ","Odontophoridae                                     ","Callipepla                                         ","gambelii                                          "
"96",298,10770,"Banded Quail                                       ","Colin barré                                        ","Philortyx fasciatus                                ","Galliformes                                        ","Odontophoridae                                     ","Philortyx                                          ","fasciatus                                         "
"97",301,2890,"Northern Bobwhite                                  ","Colin de Virginie                                  ","Colinus virginianus                                ","Galliformes                                        ","Odontophoridae                                     ","Colinus                                            ","virginianus                                       "
"98",304,10760,"Black-throated Bobwhite                            ","Colin à gorge noire                                ","Colinus nigrogularis                               ","Galliformes                                        ","Odontophoridae                                     ","Colinus                                            ","nigrogularis                                      "
"99",307,10710,"Spotted Wood-Quail                                 ","Tocro tacheté                                      ","Odontophorus guttatus                              ","Galliformes                                        ","Odontophoridae                                     ","Odontophorus                                       ","guttatus                                          "
"100",310,10720,"Singing Quail                                      ","Colin chanteur                                     ","Dactylortyx thoracicus                             ","Galliformes                                        ","Odontophoridae                                     ","Dactylortyx                                        ","thoracicus                                        "
"101",313,2960,"Montezuma Quail                                    ","Colin arlequin                                     ","Cyrtonyx montezumae                                ","Galliformes                                        ","Odontophoridae                                     ","Cyrtonyx                                           ","montezumae                                        "
"102",316,10730,"Ocellated Quail                                    ","Colin ocellé                                       ","Cyrtonyx ocellatus                                 ","Galliformes                                        ","Odontophoridae                                     ","Cyrtonyx                                           ","ocellatus                                         "
"103",319,2882,"Chukar                                             ","Perdrix choukar                                    ","Alectoris chukar                                   ","Galliformes                                        ","Phasianidae                                        ","Alectoris                                          ","chukar                                            "
"104",325,2883,"Black Francolin                                    ","Francolin noir                                     ","Francolinus francolinus                            ","Galliformes                                        ","Phasianidae                                        ","Francolinus                                        ","francolinus                                       "
"105",331,21430,"Himalayan Snowcock                                 ","Tétraogalle de l'Himalaya                          ","Tetraogallus himalayensis                          ","Galliformes                                        ","Phasianidae                                        ","Tetraogallus                                       ","himalayensis                                      "
"106",334,2881,"Gray Partridge                                     ","Perdrix grise                                      ","Perdix perdix                                      ","Galliformes                                        ","Phasianidae                                        ","Perdix                                             ","perdix                                            "
"107",340,3094,"Red Junglefowl                                     ","Coq bankiva                                        ","Gallus gallus                                      ","Galliformes                                        ","Phasianidae                                        ","Gallus                                             ","gallus                                            "
"108",346,3091,"Ring-necked Pheasant                               ","Faisan de Colchide                                 ","Phasianus colchicus                                ","Galliformes                                        ","Phasianidae                                        ","Phasianus                                          ","colchicus                                         "
"109",349,3095,"Common Peafowl                                     ","Paon bleu                                          ","Pavo cristatus                                     ","Galliformes                                        ","Phasianidae                                        ","Pavo                                               ","cristatus                                         "
"110",352,3000,"Ruffed Grouse                                      ","Gélinotte huppée                                   ","Bonasa umbellus                                    ","Galliformes                                        ","Phasianidae                                        ","Bonasa                                             ","umbellus                                          "
"111",355,3090,"Greater Sage-Grouse                                ","Tétras des armoises                                ","Centrocercus urophasianus                          ","Galliformes                                        ","Phasianidae                                        ","Centrocercus                                       ","urophasianus                                      "
"112",358,3089,"Gunnison Sage-Grouse                               ","Tétras du Gunnison                                 ","Centrocercus minimus                               ","Galliformes                                        ","Phasianidae                                        ","Centrocercus                                       ","minimus                                           "
"113",361,2980,"Spruce Grouse                                      ","Tétras du Canada                                   ","Falcipennis canadensis                             ","Galliformes                                        ","Phasianidae                                        ","Falcipennis                                        ","canadensis                                        "
"114",364,3010,"Willow Ptarmigan                                   ","Lagopède des saules                                ","Lagopus lagopus                                    ","Galliformes                                        ","Phasianidae                                        ","Lagopus                                            ","lagopus                                           "
"115",367,3020,"Rock Ptarmigan                                     ","Lagopède alpin                                     ","Lagopus muta                                       ","Galliformes                                        ","Phasianidae                                        ","Lagopus                                            ","muta                                              "
